,popularity,director,runtime,release_date,vote_count,vote_average,release_year,budget_adj,revenue_adj,profit_adj,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,release_month,runtime_levels
15,5.8984,Quentin Tarantino,167,2015-12-25,2389,7.4,2015,40479982.1888078,143299244.588332,102819262.3995242,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,December,very long
16,5.749758,Olivier Megaton,109,2015-01-01,1578,6.1,2015,44159980.5696085,299709578.207785,255549597.6381765,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,January,long
17,5.573184,Peyton Reed,115,2015-07-14,3779,7.0,2015,119599947.376023,477113780.029936,357513832.653913,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,July,very long
18,5.556818,Kenneth Branagh,112,2015-03-12,1495,6.8,2015,87399961.5440169,498963025.216268,411563063.6722511,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,March,long
19,5.476958,Francis Lawrence,136,2015-11-18,2380,6.5,2015,147199935.232028,598481289.508232,451281354.276204,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,November,very long
20,5.462138,Brad Bird,130,2015-05-19,1899,6.2,2015,174799923.088033,192312729.942398,17512806.85436502,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,May,very long
21,5.337064,Antoine Fuqua,123,2015-06-15,1386,7.3,2015,27599987.8560053,84373003.7158783,56773015.859873,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,June,very long
22,4.907832,Brad Peyton,114,2015-05-27,2060,6.1,2015,101199955.472019,432851374.985395,331651419.513376,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,May,very long
23,4.71040199999999,Sam Taylor-Johnson,125,2015-02-11,1865,5.3,2015,36799983.8080071,524079119.045187,487279135.2371799,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,February,very long
24,4.648046,Adam McKay,130,2015-12-11,1545,7.3,2015,25759988.6656049,122678731.541358,96918742.87575309,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,December,very long
25,4.566713,Christopher McQuarrie,131,2015-07-23,2349,7.1,2015,137999939.280026,627743451.672881,489743512.39285505,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,July,very long
26,4.564549,Seth MacFarlane,115,2015-06-25,1666,6.3,2015,62559972.4736121,198594430.13845,136034457.6648379,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,June,very long
27,4.503789,Matthew Vaughn,130,2015-01-24,3833,7.6,2015,74519967.2112144,371497801.660967,296977834.44975257,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,January,very long
28,4.062293,Tom McCarthy,128,2015-11-06,1559,7.8,2015,18399991.9040035,81278719.3973634,62878727.49335989,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,November,very long
29,3.968891,Wes Ball,132,2015-09-09,1849,6.4,2015,56119975.3072108,286356245.923251,230236270.61604017,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,September,very long
30,3.927333,Bill Condon,103,2015-06-19,425,6.4,2015,56119975.3072108,27006774.877019,-29113200.430191804,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,June,long
31,3.899557,Neill Blomkamp,120,2015-03-04,1990,6.6,2015,45079980.1648087,93903685.2423785,48823705.077569805,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,March,very long
32,3.877764,Elizabeth Banks,115,2015-05-07,1264,6.8,2015,26679988.2608051,264505582.097543,237825593.8367379,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,May,very long
33,3.64821,Steven Spielberg,141,2015-10-15,1638,7.1,2015,36799983.8080071,149601569.335309,112801585.52730191,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,October,very long
34,3.644541,Rob Letterman,103,2015-08-05,600,6.2,2015,53359976.5216103,138157089.01088,84797112.4892697,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,August,long
35,3.557846,Lenny Abrahamson,117,2015-10-16,1520,8.0,2015,5519997.57120106,32569603.0293746,27049605.45817354,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,October,very long
36,3.358321,Afonso Poyart,101,2015-09-03,474,6.2,2015,5519997.57120106,20566197.1908732,15046199.619672138,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,September,long
37,3.339135,Peter Sohn,93,2015-11-14,1087,6.6,2015,160999929.160031,305371920.876354,144371991.716323,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,November,normal
38,3.23737,Jaume Collet-Serra,114,2015-03-11,814,6.3,2015,45999979.7600089,65836683.5118592,19836703.7518503,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,March,very long
39,3.227329,John Crowley,111,2015-11-04,754,7.3,2015,10119995.5472019,57110024.5915891,46990029.0443872,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,November,long
40,3.202719,F. Gary Gray,147,2015-08-13,918,7.7,2015,25759988.6656049,185504110.098191,159744121.4325861,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,August,very long
41,3.080505,Breck Eisner,106,2015-10-21,879,5.6,2015,82799963.568016,129164861.167461,46364897.599445,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,October,long
42,3.079522,Danny Boyle,122,2015-10-09,1035,6.9,2015,27599987.8560053,31686509.2179359,4086521.3619306013,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,October,very long
43,3.053421,Guy Ritchie,116,2015-08-13,1548,7.0,2015,68999969.6400133,99493456.5028791,30493486.86286579,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,August,very long
44,3.025852,Lee Toland Krieger,112,2015-04-16,1221,7.3,2015,22999989.8800044,39219376.6634742,16219386.783469804,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,April,long
45,3.023253,Ilya Naishuller,97,2015-09-12,396,5.9,2015,9199995.95200178,13187080.9976843,3987085.0456825197,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,September,normal
46,2.976436,Tim Johnson,94,2015-03-18,1060,6.9,2015,124199945.352024,339361177.121082,215161231.769058,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,March,normal
47,2.968254,Jake Schreier,109,2015-07-09,1252,6.2,2015,11039995.1424021,78671281.3846362,67631286.2422341,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,July,long
48,2.93234,Simon West,92,2015-01-14,481,5.3,2015,27599987.8560053,78671281.3846362,51071293.5286309,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,January,normal
49,2.885126,Yorgos Lanthimos,118,2015-10-08,638,6.6,2015,3679998.38080071,8339346.45068756,4659348.06988685,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,October,very long
50,2.883233,Todd Haynes,118,2015-11-20,562,7.1,2015,10855995.2233621,37050347.8978469,26194352.6744848,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,November,very long
51,2.814802,Nancy Meyers,121,2015-09-24,1255,7.1,2015,32199985.8320062,178999419.480255,146799433.6482488,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,September,very long
52,2.798017,Baltasar KormÃ¡kur,121,2015-09-10,1172,6.7,2015,50599977.7360098,187153294.93255,136553317.1965402,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,September,very long
53,2.793297,David O. Russell,124,2015-12-24,1001,6.4,2015,55199975.7120106,93043293.3409509,37843317.62894031,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,December,very long
54,2.614499,Ericson Core,114,2015-12-03,505,5.5,2015,96599957.4960187,123021159.990689,26421202.4946703,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,December,very long
55,2.584264,John Wells,100,2015-10-02,631,6.3,2015,18399991.9040035,33678188.7415969,15278196.837593399,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,October,long
56,2.578919,Tarsem Singh,116,2015-07-10,719,6.2,2015,23919989.4752046,28081355.5642035,4161366.0889989026,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,July,very long
57,2.575711,David Koepp,106,2015-01-21,696,5.3,2015,55199975.7120106,27985062.8865723,-27214912.8254383,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,January,long
58,2.557859,Tom Hooper,120,2015-11-27,867,7.3,2015,13799993.9280026,59056175.1752829,45256181.2472803,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,November,very long
59,2.550747,Michael Mann,133,2015-01-13,584,5.0,2015,64399971.6640124,16332697.613613,-48067274.0503994,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,January,very long
60,2.487849,Denis Villeneuve,121,2015-09-17,1479,7.1,2015,27599987.8560053,77303716.7063646,49703728.850359306,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,September,very long
61,2.487042,Josh Trank,100,2015-08-05,1565,4.4,2015,110399952.34402,154539320.322699,44139367.978679016,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,August,long
62,2.46449,Robert Eggers,92,2015-03-24,700,5.8,2015,3219998.58320062,37190013.0363942,33970014.45319358,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,March,normal
63,2.404473,Paul Feig,120,2015-05-06,1840,6.9,2015,59799973.6880115,216812826.082356,157012852.3943445,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,May,very long
64,2.395366,Glenn Ficarra|John Requa,105,2015-02-25,1831,6.7,2015,46091979.7195289,141645863.63582,95553883.9162911,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,February,long
65,2.354654,Aleksander Bach,96,2015-08-20,820,5.5,2015,32199985.8320062,75759810.1856835,43559824.3536773,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,August,normal
66,2.345821,Ron Howard,122,2015-11-20,805,6.4,2015,91999959.5200178,86315059.3813738,-5684900.13864401,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,November,very long
67,2.331636,James McTeigue,96,2015-05-21,280,5.4,2015,18399991.9040035,86315059.3813738,67915067.47737029,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,May,normal
68,2.331567,Ryan Coogler,133,2015-11-25,1171,7.3,2015,32199985.8320062,126900665.803707,94700679.9717008,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,November,very long
69,2.31767,Judd Apatow,125,2015-07-17,849,6.1,2015,32199985.8320062,129532072.565888,97332086.7338818,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,July,very long
70,2.29573,Gavin Hood,102,2015-09-11,265,7.2,2015,11959994.7376023,30220316.9030605,18260322.165458202,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,September,long
71,2.28135,Brian Helgeland,131,2015-09-09,619,6.7,2015,22999989.8800044,39535137.0845396,16535147.204535201,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,September,very long
72,2.272044,Jean-Baptiste LÃ©onetti,95,2015-04-17,81,5.5,2015,22999989.8800044,42223.3814217121,-22957766.498582687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,April,normal
73,2.234573,Joe Wright,111,2015-09-24,586,5.9,2015,137999939.280026,118117202.42843,-19882736.851595983,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,September,long
74,2.165433,Anne K. Black,108,2015-06-24,27,5.1,2015,137999939.280026,118117202.42843,-19882736.851595983,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,June,long
75,2.141506,Alfonso Gomez-Rejon,105,2015-06-12,569,7.7,2015,137999939.280026,118117202.42843,-19882736.851595983,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,June,long
76,2.140199,Steve Martino,88,2015-11-05,414,6.4,2015,91079959.9248176,226534364.284879,135454404.3600614,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,November,short
77,2.121884,Peter Landesman,123,2015-11-12,500,6.9,2015,32199985.8320062,44733666.5571867,12533680.7251805,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,November,very long
78,2.096273,Jonathan Levine,100,2015-11-20,363,6.1,2015,22999989.8800044,48204295.1101101,25204305.230105698,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,November,long
79,2.080935,Eli Roth,99,2015-06-26,473,4.8,2015,2299998.98800044,4796917.44935632,2496918.4613558804,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,June,normal
80,2.070708,"George Tillman, Jr.",128,2015-04-09,711,7.3,2015,31279986.236806,57972193.012235,26692206.775429,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,April,very long
81,2.060162,Genndy Tartakovsky,89,2015-09-21,919,6.8,2015,73599967.6160142,428888671.768984,355288704.15296984,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,September,short
82,2.055572,Jessie Nelson,107,2015-11-12,111,5.3,2015,15639993.118403,22079990.2848042,6439997.166401198,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,November,long
83,2.049886,Robert Zemeckis,123,2015-09-30,706,6.8,2015,32199985.8320062,56287361.8735607,24087376.041554496,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,September,very long
84,2.026651,Daniel Benmayor,94,2015-01-15,326,5.9,2015,10119995.5472019,1714249.04573042,-8405746.50147148,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,January,normal
85,2.000338,John Francis Daley|Jonathan M. Goldstein,99,2015-07-28,846,6.1,2015,28519987.4512055,96033410.7052992,67513423.2540937,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,July,normal
86,1.984529,Gil Kenan,93,2015-05-20,589,5.0,2015,32199985.8320062,87802915.846717,55602930.0147108,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,May,normal
87,1.980039,Henry Hobson,95,2015-05-08,384,5.1,2015,3679998.38080071,172142.964257095,-3507855.416543615,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,May,normal
88,1.959765,Drake Doremus,101,2015-09-04,135,5.6,2015,3679998.38080071,1839999.19040035,-1839999.1904003602,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,September,long
89,1.95632,Daniel Espinosa,137,2015-03-15,341,5.9,2015,45999979.7600089,3058382.2543118,-42941597.5056971,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,March,very long
90,1.926739,Joel Edgerton,108,2015-07-30,631,6.6,2015,4599997.97600089,54260336.8854517,49660338.90945081,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,July,long
91,1.904898,Sean Anders,96,2015-12-25,568,5.7,2015,45999979.7600089,221131463.342156,175131483.5821471,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,December,normal
93,1.872696,Brian A Miller,96,2015-01-16,181,4.1,2015,9199995.95200178,221131463.342156,211931467.3901542,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,January,normal
94,1.865007,Mark Osborne,92,2015-07-29,423,7.5,2015,58879974.0928114,89765510.5031753,30885536.410363905,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,July,normal
95,1.841779,Walt Becker,92,2015-12-17,278,5.7,2015,58879974.0928114,215055014.135793,156175040.0429816,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,December,normal
96,1.82313,Jocelyn Moorhouse,118,2015-10-01,197,6.9,2015,10975595.1707381,16872792.5759712,5897197.405233102,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,October,very long
97,1.758618,Ari Sandel,100,2015-02-20,753,6.8,2015,7819996.55920151,40046325.6596167,32226329.100415193,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,February,long
98,1.742286,Ciaran Foy,97,2015-08-19,331,5.5,2015,9199995.95200178,48651435.1533685,39451439.20136672,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,August,normal
99,1.73518,Andy Fickman,94,2015-04-16,422,5.3,2015,27599987.8560053,98989419.0846556,71389431.2286503,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,April,normal
100,1.72471199999999,Chris Buck|Jennifer Lee,8,2015-03-09,475,7.0,2015,27599987.8560053,98989419.0846556,71389431.2286503,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,March,short
101,1.661789,Ben Wheatley,119,2015-09-26,161,5.4,2015,27599987.8560053,98989419.0846556,71389431.2286503,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,September,very long
102,1.65107799999999,Rob Cohen,91,2015-01-23,810,3.9,2015,3679998.38080071,46150034.4539848,42470036.07318409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,January,normal
103,1.646664,Bharat Nalluri,104,2015-04-11,114,5.6,2015,3679998.38080071,46150034.4539848,42470036.07318409,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,April,long
104,1.532997,Doug Ellin,104,2015-06-03,364,6.2,2015,27599987.8560053,45322311.7381828,17722323.8821775,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,June,long
105,1.510096,Jeremy Garelick,101,2015-01-16,446,6.5,2015,21159990.689604,73415857.2970227,52255866.6074187,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,January,long
106,1.499614,Christopher B. Landon,93,2015-10-23,288,6.2,2015,13799993.9280026,13671898.7043645,-128095.22363810055,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,October,normal
107,1.495112,M. Night Shyamalan,94,2015-09-10,729,5.9,2015,4599997.97600089,90574017.1874324,85974019.2114315,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,September,normal
108,1.48324599999999,Scott Cooper,122,2015-09-04,848,6.3,2015,48759978.5456094,91793583.3708233,43033604.825213894,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,September,very long
109,1.449072,Scott Mann,93,2015-11-13,233,5.4,2015,8187996.39728158,46125.0997049561,-8141871.297576624,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,November,normal
110,1.448002,Michael Dougherty,98,2015-11-26,342,5.9,2015,13799993.9280026,56624785.5250943,42824791.597091705,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,November,normal
111,1.443406,Gilles Paquet-Brenner,113,2015-03-31,322,5.7,2015,18399991.9040035,191900.875563614,-18208091.028439887,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,March,very long
112,1.41239,John Erick Dowdle,103,2015-08-26,519,6.7,2015,4599997.97600089,50065340.2112503,45465342.23524941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,August,long
113,1.40805,Rick Famuyiwa,103,2015-06-19,448,7.3,2015,643999.716640124,16547831.2389542,15903831.522314075,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,June,long
114,1.388251,Nima Nourizadeh,96,2015-08-19,695,5.9,2015,25759988.6656049,25951426.7813722,191438.11576730013,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,August,normal
115,1.388032,Simon Curtis,120,2015-04-10,277,7.3,2015,10119995.5472019,56690166.2163268,46570170.6691249,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,April,very long
116,1.38032,Mike Elliott,105,2015-01-09,22,4.5,2015,10119995.5472019,56690166.2163268,46570170.6691249,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,January,long
117,1.376605,Jason Moore,118,2015-12-18,399,5.9,2015,27599987.8560053,96610126.2515444,69010138.3955391,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,December,very long
118,1.360926,Dean Israelite,106,2015-01-30,637,6.3,2015,11039995.1424021,29668368.6659177,18628373.523515597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,January,long
119,1.360827,Terry Jones,85,2015-06-26,199,5.8,2015,11039995.1424021,4774472.21923222,-6265522.923169879,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,June,short
120,1.355822,Camille Delamarre,96,2015-09-03,407,5.3,2015,22999989.8800044,66819266.9995225,43819277.1195181,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,September,normal
121,1.345982,Guillermo del Toro,119,2015-10-13,819,6.4,2015,50599977.7360098,68705406.0096213,18105428.27361151,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,October,very long
122,1.342839,Joe Lynch,90,2015-01-23,169,5.1,2015,50599977.7360098,68705406.0096213,18105428.27361151,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,January,short
123,1.338481,Gregory Jacobs,115,2015-07-01,501,6.3,2015,13615994.0089626,112619962.887216,99003968.8782534,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,July,very long
124,1.338322,Gregory Plotkin,88,2015-10-21,267,5.0,2015,9199995.95200178,71851557.1453148,62651561.19331302,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,October,short
125,1.329702,John Maclean,84,2015-04-16,229,6.6,2015,9199995.95200178,210766.387262789,-8989229.56473899,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,April,short
126,1.316239,Jay Roach,124,2015-10-27,273,7.2,2015,13799993.9280026,7576804.78620589,-6223189.14179671,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,October,very long
127,1.315266,Billy Ray,111,2015-10-14,202,6.2,2015,17939992.1064034,29614535.8096042,11674543.703200802,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,October,long
128,1.29314,Noah Baumbach,84,2015-08-14,132,6.4,2015,17939992.1064034,2300395.50782597,-15639596.598577429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,August,short
129,1.291013,Paul Tibbitt,93,2015-02-05,533,5.7,2015,68079970.0448131,286666383.306791,218586413.2619779,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,February,normal
130,1.284541,Rupert Goold,100,2015-04-17,354,6.0,2015,68079970.0448131,4342117.4894683,-63737852.5553448,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,April,long
131,1.278928,Boaz Yakin,111,2015-06-26,214,7.0,2015,18399991.9040035,40449856.802063,22049864.898059502,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,June,long
132,1.25358,Mark Burton|Richard Starzack,85,2015-02-05,340,6.9,2015,18399991.9040035,54923975.8334506,36523983.9294471,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,February,short
133,1.251681,Joachim Trier,109,2015-05-18,43,6.3,2015,10119995.5472019,54923975.8334506,44803980.2862487,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,May,long
